"Search optimizers","Search optimizers"
"Search optimizers analysis","Search optimizers analysis"
"No","No"
"Yes","Yes"
"Optimizer Information","Optimizer Information"
"Boost configuration","Boost configuration"
"Global configuration","Global configuration"
"General Information","General Information"
"Optimizer Name","Optimizer Name"
"Activation","Activation"
"Status","Status"
"Enabled","Enabled"
"Disabled","Disabled"
"Store View","Store View"
"From Date","From Date"
"To Date","To Date"
"Query type","Query type"
"Edit optimizer","Edit optimizer"
"Save optimizer","Save optimizer"
"Delete optimizer","Delete optimizer"
"Save and Continue Edit","Save and Continue Edit"
"Edit optimizer '%s'","Edit optimizer '%s'"
"New optimizer","New optimizer"
"%s [%s]","%s [%s]"
"Name","Name"
"Model","Model"
"Store View","Store View"
"Create optimizer","Create optimizer"
"Optimizer type","Optimizer type"
"Add New Optimizer","Add New Optimizer"
"Search","Search"
"Optimization","Optimization"
"Search optimizer","Search optimizer"
"This optimizer no longer exists.","This optimizer no longer exists."
"Edit optimizer","Edit optimizer"
"The optimizer has been saved..","The optimizer has been saved.."
"The optimizer has been deleted.","The optimizer has been deleted."
"Unable to find an optimizer to delete.","Unable to find an optimizer to delete."
"--Please Select--","--Please Select--"
"Search Optimizers Analysis","Search Optimizers Analysis"
"Compute optimizer rules and index them as percolator for analysis.","Compute optimizer rules and index them as percolator for analysis."
"Configuration","Configuration"
"Apply to products","Apply to products"
"Conditions","Conditions"
"Boost value (%)","Boost value (%)"
"Between -99 and 10000","Between -99 and 10000"
"Popularity type","Popularity type"
"Product bought","Product bought"
"Product viewed","Product viewed"
"Scale function","Scale function"
"Logarithmic","Logarithmic"
"Square root","Square root"
"Linear","Linear"
"Scale factor","Scale factor"
"Value the field will be multiplied by the value before applying the scale function","Value the field will be multiplied by the value before applying the scale function"
"Search engine","Search engine"
"Optimizations","Optimizations"
"Popularity","Popularity"
"Constant score","Constant score"
"Catalog product search query","Catalog product search query"
"Catalog product category listing","Catalog product category listing"
"Optimizer boost detail :","Optimizer boost detail :"
"Optimizer name","Optimizer name"
"Apply to","Apply to"
"Is applied","Is applied"
"Boost value","Boost value"
"N/A","N/A"
"Edit","Edit"
"Not optimized results","Not optimized results"
"Optimized results","Optimized results"
No search result for "%s",No search result for "%s"
"Preview :","Preview :"
"Fulltext query :","Fulltext query :"
"Refresh","Refresh"
"Please type a search query before launching preview.","Please type a search query before launching preview."
"Store view","Store view"
