"Smile Tracker Section","Smile Tracker Section"
"Tracking","Tracking"
"Global Configuration","Global Configuration"
"Tracking base URL","Tracking base URL"
"Session","Session"
"Visit cookie name","Visit cookie name"
"Visit cookie lifetime","Visit cookie lifetime"
"Visitor cookie name","Visitor cookie name"
"Visitor cookie lifetime","Visitor cookie lifetime"
"In seconds (default is 3600 sec.).<br /> Without any activity under this delay we start a new visit.","In seconds (default is 3600 sec.).<br /> Without any activity under this delay we start a new visit."
"In day (default is 365 days).<br /> This cookie will be stick to the customer to allow multiple session aggregation.","In day (default is 365 sec.).<br /> This cookie will be stick to the customer to allow multiple session aggregation."
"Enabled","Enabled"
