"Smile Searchandising Suite","Smile Searchandising Suite"
"Search Weight","Pondération dans la recherche"
"Search Engine","Moteur de recherche",
"Enable Debug Mode","Activer le mode débogage"
"If set yo yes, will display potential error messages in frontend.","Si placer sur oui, affiche les messages d'erreur en front-office."
"Servers","Serveurs"
"host:port separated by comma.","host:port séparés par des virgules."
"Server Timeout","Timeout"
"Number of seconds after a timeout occurs for every request. If using indexing of file, large value necessary","Nombre de seconces après lesquelles un timeout se produit. Utiliser des valeurs élevées si vous indexez des fichiers."
"Alias Name","Nom de l'alias"
"Without starting and trailing slashes.","Ne pas utiser de / au début ni à la fin."
"Number of Shards","Nombres de shards"
"Having more shards enhances the indexing performance and allows to distribute a big index across machines.","Utiliser plus de shards permet d'améliorer les performances d'indexation et de répartir l'index sur plusieurs machines."
"Number of Replicas","Nombre de réplicas"
"The number of replicas each shard has. Having more replicas enhances the search performance and improves the cluster availability. <br /><strong><span style=""color: red;"">Be careful</span></strong> when modifying this parameter. Write consistency (one, quorum or all) must be considered in order to avoid timeout write action. More info here: http://www.elasticsearch.org/guide/reference/api/bulk.html and https://github.com/elasticsearch/elasticsearch/issues/444","Le nombre de réplicas de chaque shards. Un nombre plus important de réplicas améliore les performances de recherche ainsi que la tolérance à la panne. <br /><strong><span style=""color: red;"">Soyez prudent</span></strong> si vous modifiez ce paramètre. Le paramétrage de la cohérence en écriture (one, quorum or all) doit être pris en compte pour éviter les problèmes de timeout lors de l'indexation. Plus d'informations : http://www.elasticsearch.org/guide/reference/api/bulk.html et https://github.com/elasticsearch/elasticsearch/issues/444"
"<strong>Default write consistency is quorum</strong> (active shards > replicas / 2 + 1).<br /> For example, in a N shards with 2 replicas index, there will have to be at least 2 active shards within the relevant partition (quorum) for the operation to succeed. In a N shards with 1 replica scenario, there will need to be a single shard active (in this case, one and quorum is the same).","<strong>Le paramétrage par défault de la cohérence en écriture est quorum</strong> (active shards > replicas / 2 + 1).<br /> Par exemple, pour un index avec N shards et 2 replicas, il doit y avoir au moins deux shars actifs pour (quorum) pour que l'opération soit un succès. Dans un scénario avec N shards et 1 replica, vous avez besoin d'un seul shard actif (dans ce cas, one et quorum sont équivalents)."
"Facets Max Size","Taille maximale des facettes"
"Max number of values returned by a facet query.","Nombre maximal de valeurs retournées par une requête de facette"
"Enable Search on Options Labels","Activer la recherche sur les labels des options"
"If enabled, will also search on product options labels.","Si activé, la recherche sera aussi effectuée sur les labels des options."
"Enable ICU Folding Token Filter","Activer le plugin ICU"
"Needs ICU plugin installation: https://github.com/elasticsearch/elasticsearch-analysis-icu","Le plugin ICU doit être installé: https://github.com/elasticsearch/elasticsearch-analysis-icu"
"Enable Fuzzy Query","Activer la recherche approchante"
"Enables approximative search: http://www.elasticsearch.org/guide/reference/query-dsl/flt-query.html","Plus d'informations : http://www.elasticsearch.org/guide/reference/query-dsl/flt-query.html"
"Fuzzy Min Similarity","Similarité minimale pour la recherche approchante"
"0 to 1 (1 excluded). Low value affects query performance. Default value in Elasticsearch: 0.5.","Entre 0 et 1 (1 exclus). Les valeurs faibles réduisent la pertinence. Valeur par défaut d'Elasticsearch: 0.5."
"Fuzzy Prefix Length","Prefixe de la recherche approchante"
"Length of required common prefix on variant terms. Default value in Elasticsearch: 0.","Longueur minimale du prefix commun des termes approchants. Valeur par défaut d'Elasticsearch: 1."
"Fuzzy Max Expansions","Nombre d'expansions de la recherche approchante"
"High value affects query performance. Default value in Elasticsearch: 25.","Les valeurs élevées réduisent la pertinence. Valeur par défaut d'Elasticsearch: 25."
"Fuzzy Query Boost","Boost de la recherche approchante" 
"Sets the boost value of the query. Default value in Elasticsearch: 1.","Valeur du boost de la recherche approchante. Valeur par défaut d'Elasticsearch: 1."
