"Category type","Type de catégorie"
"Enable virtual category","Activer la catégorie virtuelle"
"Yes","Oui"
"No","Non"
"Virtual condition","Condition de la catégorie virtuelle"
"Product selection","Sélection de produits"
"Only in stock products","Seulement les produits en stock"
"Only products with images","Seulement les produits avec image"
"Only discounted products","Seulement les produits en promotion"
"Only new products","Seulement les nouveaux produits"
"Custom products positions in Virtual Categories","Positions des produits dans les catégories virtuelles"
"Computes custom positions for products in virtual categories.","Indexe les positions des produits dans les catégories virtuelles."
"Virtual Categories products positions Index","Index des positions des produits dans les catégories virtuelles"
